party_number,candidate_number,mir_norm,total_votes
15,101,01,2462
15,101,02,4347
15,101,03,4265
15,101,04,1311
15,101,05,1126
15,101,06,1776
15,101,07,2429
15,101,08,1559
15,101,09,629
15,101,10,1331
15,101,11,1729
15,101,12,966
15,101,13,3216
15,101,14,1044
15,101,15,1736
15,101,16,5745
15,101,17,1736
15,101,18,306
15,101,19,1163
15,101,20,703
15,101,21,1089
15,101,22,2694
15,101,23,5886
15,101,24,3474
15,101,25,7063
15,101,26,2593
15,101,27,1920
15,101,28,448
15,101,29,2991
15,101,30,771
15,101,31,596
15,102,01,248
15,102,02,1158
15,102,03,565
15,102,04,2360
15,102,05,318
15,102,06,3511
15,102,07,300
15,102,08,580
15,102,09,90
15,102,10,1656
15,102,11,1213
15,102,12,558
15,102,13,4173
15,102,14,342
15,102,15,1328
15,102,16,299
15,102,17,2072
15,102,18,2327
15,102,19,644
15,102,20,658
15,102,21,1373
15,102,22,196
15,102,23,1519
15,102,24,2836
15,102,25,293
15,102,26,1680
15,102,27,737
15,102,28,395
15,102,29,5606
15,102,30,646
15,102,31,396
15,103,01,4590
15,103,02,1660
15,103,03,343
15,103,04,1300
15,103,05,191
15,103,06,266
15,103,07,305
15,103,08,182
15,103,09,175
15,103,10,710
15,103,11,293
15,103,12,241
15,103,13,189
15,103,14,653
15,103,15,1912
15,103,16,265
15,103,17,360
15,103,18,202
15,103,19,950
15,103,20,407
15,103,21,673
15,103,22,305
15,103,23,634
15,103,24,250
15,103,25,495
15,103,26,591
15,103,27,1330
15,103,28,322
15,103,29,533
15,103,30,215
15,103,31,308
15,104,01,5137
15,104,02,406
15,104,03,1914
15,104,04,457
15,104,05,98
15,104,06,137
15,104,07,97
15,104,08,220
15,104,09,101
15,104,10,322
15,104,11,290
15,104,12,273
15,104,13,233
15,104,14,228
15,104,15,289
15,104,16,204
15,104,17,1108
15,104,18,127
15,104,19,111
15,104,20,206
15,104,21,478
15,104,22,162
15,104,23,389
15,104,24,215
15,104,25,479
15,104,26,549
15,104,27,510
15,104,28,237
15,104,29,602
15,104,30,107
15,104,31,75
15,105,01,4340
15,105,02,700
15,105,03,736
15,105,04,493
15,105,05,885
15,105,06,304
15,105,07,102
15,105,08,150
15,105,09,42
15,105,10,263
15,105,11,372
15,105,12,311
15,105,13,415
15,105,14,388
15,105,15,194
15,105,16,307
15,105,17,795
15,105,18,91
15,105,19,1152
15,105,20,224
15,105,21,413
15,105,22,62
15,105,23,528
15,105,24,163
15,105,25,163
15,105,26,231
15,105,27,385
15,105,28,63
15,105,29,381
15,105,30,145
15,105,31,71
15,106,01,622
15,106,02,153
15,106,03,360
15,106,04,180
15,106,05,177
15,106,06,97
15,106,07,68
15,106,08,133
15,106,09,47
15,106,10,105
15,106,11,167
15,106,12,198
15,106,13,161
15,106,14,207
15,106,15,241
15,106,16,325
15,106,17,150
15,106,18,157
15,106,19,175
15,106,20,33
15,106,21,98
15,106,22,130
15,106,23,109
15,106,24,193
15,106,25,141
15,106,26,123
15,106,27,195
15,106,28,24
15,106,29,592
15,106,30,143
15,106,31,38
15,107,01,178
15,107,02,784
15,107,03,452
15,107,04,113
15,107,05,152
15,107,06,162
15,107,07,44
15,107,08,76
15,107,09,47
15,107,10,365
15,107,11,541
15,107,12,424
15,107,13,145
15,107,14,739
15,107,15,152
15,107,16,118
15,107,17,139
15,107,18,63
15,107,19,98
15,107,20,138
15,107,21,146
15,107,22,65
15,107,23,145
15,107,24,152
15,107,25,202
15,107,26,374
15,107,27,240
15,107,28,33
15,107,29,364
15,107,30,176
15,107,31,132
15,108,01,55
15,108,02,1524
15,108,03,332
15,108,04,85
15,108,05,364
15,108,06,247
15,108,07,66
15,108,08,228
15,108,09,66
15,108,10,158
15,108,11,907
15,108,12,2685
15,108,13,408
15,108,14,2286
15,108,15,108
15,108,16,214
15,108,17,159
15,108,18,36
15,108,19,65
15,108,20,221
15,108,21,185
15,108,22,55
15,108,23,137
15,108,24,137
15,108,25,161
15,108,26,512
15,108,27,165
15,108,28,40
15,108,29,329
15,108,30,97
15,108,31,78
15,109,01,104
15,109,02,251
15,109,03,2613
15,109,04,36
15,109,06,76
15,109,08,242
15,109,09,12
15,109,13,78
15,109,15,54
15,109,16,50
15,109,17,37
15,109,19,156
15,109,21,117
15,109,23,645
15,109,24,71
15,109,25,171
15,109,26,2241
15,109,27,206
15,109,29,102
15,109,30,75
15,110,01,90
15,110,02,352
15,110,03,135
15,110,04,85
15,110,06,194
15,110,08,120
15,110,09,24
15,110,13,81
15,110,15,95
15,110,16,43
15,110,17,42
15,110,19,29
15,110,21,132
15,110,23,59
15,110,24,74
15,110,25,93
15,110,26,396
15,110,27,970
15,110,29,230
15,110,30,785
15,111,01,72
15,111,02,128
15,111,03,354
15,111,04,119
15,111,06,90
15,111,13,95
15,111,15,84
15,111,16,227
15,111,17,139
15,111,19,91
15,111,21,133
15,111,23,143
15,111,24,113
15,111,25,126
15,111,26,139
15,111,27,106
15,111,29,284
15,111,30,67
15,112,01,137
15,112,02,145
15,112,03,113
15,112,04,51
15,112,06,113
15,112,13,97
15,112,15,67
15,112,16,64
15,112,17,80
15,112,19,52
15,112,21,84
15,112,23,63
15,112,24,144
15,112,25,68
15,112,26,179
15,112,27,224
15,112,29,181
15,112,30,105
15,113,01,70
15,113,02,107
15,113,03,134
15,113,04,70
15,113,13,64
15,113,15,88
15,113,16,70
15,113,17,101
15,113,19,20
15,113,23,117
15,113,24,79
15,113,25,81
15,113,26,83
15,113,27,158
15,113,29,53
15,114,01,63
15,114,02,94
15,114,03,100
15,114,04,47
15,114,13,36
15,114,15,162
15,114,16,164
15,114,17,75
15,114,19,87
15,114,23,71
15,114,24,52
15,114,25,203
15,114,26,43
15,114,27,56
15,114,29,93
15,115,01,332
15,115,02,237
15,115,03,400
15,115,04,185
15,115,13,191
15,115,15,249
15,115,16,229
15,115,17,221
15,115,23,169
15,115,24,178
15,115,25,224
15,115,26,367
15,115,27,346
15,115,29,246
15,116,01,20
15,116,02,95
15,116,03,123
15,116,04,33
15,116,13,56
15,116,15,59
15,116,16,43
15,116,17,28
15,116,23,32
15,116,24,26
15,116,25,34
15,116,26,238
15,116,27,16
15,116,29,284
15,117,01,17
15,117,02,73
15,117,03,106
15,117,16,52
15,117,17,59
15,117,23,109
15,117,24,66
15,117,25,75
15,117,27,145
15,118,01,18
15,118,02,78
15,118,03,131
15,118,16,69
15,118,17,17
15,118,23,40
15,118,24,41
15,118,25,38
15,118,27,122
15,119,01,13
15,119,02,46
15,119,03,148
15,119,16,27
15,119,17,43
15,119,23,48
15,119,24,51
15,119,25,29
15,119,27,156
15,120,01,26
15,120,02,98
15,120,03,74
15,120,16,21
15,120,17,32
15,120,23,64
15,120,24,41
15,120,25,48
15,120,27,61
15,121,01,97
15,121,02,41
15,121,03,80
15,121,16,38
15,121,17,37
15,121,23,41
15,121,24,42
15,121,25,36
15,121,27,56
15,122,01,6860
15,122,02,71
15,122,03,519
15,122,16,13
15,122,17,66
15,122,23,31
15,122,24,22
15,122,25,43
15,122,27,70
15,123,02,124
15,123,03,113
15,123,16,39
15,123,23,63
15,123,24,33
15,123,25,22
15,124,02,91
15,124,03,505
15,124,16,75
15,124,23,19
15,124,24,38
15,124,25,17
15,125,02,78
15,125,03,160
15,125,23,42
15,125,24,41
15,125,25,17
15,126,02,64
15,126,03,49
15,126,23,19
15,126,24,123
15,126,25,18
15,127,02,27
15,127,03,36
15,127,23,19
15,127,25,33
15,128,02,431
15,128,03,118
15,128,23,28
15,128,25,55
15,129,03,34
15,129,23,24
15,130,03,136
15,130,23,23
15,131,03,49
15,131,23,10
15,132,03,154
15,132,23,11
15,133,23,15
15,134,23,10
15,135,23,12
15,136,23,11
15,137,23,7
15,138,23,491
15,Без,01,4178
15,Без,02,10719
15,Без,03,13540
15,Без,04,4903
15,Без,05,2581
15,Без,06,5854
15,Без,07,3981
15,Без,08,4307
15,Без,09,2524
15,Без,10,4256
15,Без,11,5153
15,Без,12,4467
15,Без,13,4889
15,Без,14,4094
15,Без,15,6281
15,Без,16,11393
15,Без,17,8174
15,Без,18,1911
15,Без,19,5447
15,Без,20,3562
15,Без,21,5106
15,Без,22,3239
15,Без,23,20566
15,Без,24,15236
15,Без,25,15234
15,Без,26,7218
15,Без,27,9852
15,Без,28,2117
15,Без,29,5372
15,Без,30,3609
15,Без,31,2958
